id,address,at_street,description,latitude,longitude,municipality,name,on_street
"1850",,"Ravenna Road",,"42.293107","-71.143325","Boston","Weld St @ Ravenna Rd","Weld Street"
"70064",,,"Davis - Red Line - Alewife","42.39674","-71.121815","Somerville","Davis",
"NHRML-0218-B2",,,"North Billerica - Commuter Rail Shuttle - Station St @ West Parking Lot","42.592849","-71.281409","Billerica","North Billerica - Station St @ West Parking Lot","Station Street"
"9070072",,"Palmer Street","Harvard - Red Line Shuttle - Brattle St @ Palmer St","42.373396","-71.1202","Cambridge","Harvard - Brattle St @ Palmer St","Brattle Street"
"node-bbsta-clar-fareunpaid",,,"Back Bay - Unpaid side of exit-only gates",,,"Boston","Back Bay",
"9070214",,"Hawes Street","Hawes Street - Green Line Park Street & North Shuttle - 1089 Beacon St","42.3449","-71.11065","Brookline","Hawes Street - 1089 Beacon St","Beacon Street"
"70174",,,"Reservoir - Green Line - Park Street & North","42.335181","-71.147879","Brookline","Reservoir",
"WML-0035-02",,,"Boston Landing - Commuter Rail - Track 2 (South Station)","42.357293","-71.139883","Boston","Boston Landing",
"NB-0127-B0",,,"Needham Center - Commuter Rail Outbound Shuttle - Chapel St @ Great Plain Ave","42.280372","-71.236875","Needham","Needham Center - Chapel St @ Great Plain Ave",
"264",,"K Street",,"42.331379","-71.037417","Boston","E 8th St @ K St","East Eighth Street"
"place-FR-0201","90 Thoreau St, Concord, MA 01742",,,"42.456565","-71.357677","Concord","Concord",
"9070155",,"Trinity Place","Copley - Green Line Westbound Shuttle - Saint James Ave @ Trinity Pl","42.34966","-71.07578","Boston","Copley - Saint James Ave @ Trinity Pl","Saint James Avenue"
"21917",,,"Reservoir - Busway Berth 1","42.335069","-71.14933","Brookline","Reservoir",
"1478",,"Rowell Street",,"42.312676","-71.06448","Boston","Hancock St @ Rowell St","Hancock Street"
"2735",,"Alfred Street",,"42.398403","-71.107573","Somerville","Broadway @ Alfred St","Broadway"
"7617",,"James Street",,"42.357175","-71.238613","Newton","River St @ James St","River Street"
"70100",,,"Wollaston - Red Line - Alewife","42.266788","-71.020457","Quincy","Wollaston",
"4822",,"Puritan Road",,"42.470334","-70.894907","Swampscott","Humphrey St @ Puritan Rd","Humphrey Street"
"8692",,"Playstead Road",,"42.431655","-71.130854","Medford","Winthrop St @ Playstead Rd","Winthrop Street"
"591",,"Adirondack Place",,"42.272915","-71.067814","Boston","Dorchester Ave opp Adirondack Pl","Dorchester Avenue"
"node-north-causeway-farepaid",,,"North Station - Paid side of fare gates","42.365642","-71.060548","Boston","North Station",
"8307",,"Grant Avenue",,"42.42439","-71.092796","Medford","Fellsway W @ Grant Ave","Fellsway West"
"8825",,"Warren Street",,"42.374606","-71.210156","Waltham","Main St @ Warren St - Waltham Line","Main Street"
"13843",,"Main Street",,"42.207885","-70.957198","Weymouth","Washington St @ Main St","Washington Street"
"6678",,"Lyman Street",,"42.467479","-70.956993","Lynn","Franklin St @ Lyman St","Franklin Street"
"2924",,"Seaver Street",,"42.304183","-71.082124","Boston","Columbia Rd @ Seaver St","Columbia Road"
"node-778-parking",,,"East Taunton - Bottom of elevator between parking and pedestrian bridge","41.867843","-71.061207","Taunton","East Taunton",
"543",,"Wellington Hill Street",,"42.284982","-71.092672","Boston","Morton St opp Wellington Hill St","Morton Street"
"4511",,"Merrimac Street",,"42.362126","-71.058975","Boston","Sudbury St @ Congress St - Haymarket Sta","Sudbury Street"
"node-portr-fareunpaid",,,"Porter - Unpaid side of fare gates","42.388397","-71.11885","Cambridge","Porter",
"9133",,"Fisher Terrace",,"42.497441","-71.155907","Woburn","Main St @ Fisher Terr","Main Street"
"node-970-platform",,,"Ashmont - Bottom of elevator between Red Line platform and lobby, busway, Mattapan Line","42.284479","-71.063875","Boston","Ashmont",
"node-rugg-columbusstairs-top",,,"Ruggles - Top of Columbus Street entrance stairs",,,"Boston","Ruggles",
"2177",,"Walden Street",,"42.383906","-71.134151","Cambridge","Concord Ave @ Walden St","Concord Avenue"
"3079",,"Minot Street",,"42.283483","-71.055634","Boston","Adams St @ Minot St","Adams Street"
"70035",,,"Malden Center - Orange Line - Oak Grove","42.426662","-71.074314","Malden","Malden Center",
"6690",,"Laurel Street",,"42.463736","-70.975838","Lynn","Boston St @ Myrtle St","Boston Street"
"25990",,"Elm Street",,"42.486702","-71.100209","Stoneham","Main St @ Elm St","Main Street"
"node-state-olpassagestairs-sbplatform",,,"State - Top of stairs between Forest Hills passageway and Oak Grove platform",,,"Boston","State",
"node-396-landing",,,"Aquarium - Landing for escalator from lobby to State Street",,,"Boston","Aquarium",
"5835",,"Adams Street",,"42.415876","-71.017437","Revere","Constitution Ave @ Adams St","Constitution Avenue"
"place-tapst","Beacon St and Tappan St, Brookline, MA",,,"42.338459","-71.138702","Brookline","Tappan Street",
"node-harsq-harstair-platform",,,"Harvard - Bottom of stairs between Alewife platform and Church Street lobby","42.374647","-71.118876","Cambridge","Harvard",
"35201",,"McDonough Way",,"42.328495","-71.052689","Boston","Old Colony Ave @ McDonough Way","Old Colony Avenue"
"3398",,"Ballou Street",,"42.252713","-71.035625","Quincy","Robertson St @ Ballou St","Robertson Street"
"node-lbusramp-upper",,,"Sullivan Square - Top of ramp for lower busway",,,"Boston","Sullivan Square",
"9021",,"Home Street",,"42.434125","-71.039413","Malden","Salem St @ Home St - Broadway Sq","Salem Street"
"4147",,"Unnamed Road",,"42.252277","-71.075258","Milton","Opp 202 Reedsdale Rd @ Milton Hospital","Reedsdale Road"
"483",,"Wheatland Avenue",,"42.293648","-71.07199","Boston","Washington St @ Wheatland Ave","Washington Street"
"node-848-busway",,,"Ruggles - Bottom of Lower Busway Lane 2 elevator","42.336486","-71.089081","Boston","Ruggles",
"6632",,"Willow Road",,"42.422361","-70.916481","Nahant","Wharf St @ Willow Rd","Wharf Street"
"3487",,"Governors Road",,"42.260013","-71.046357","Milton","Adams St @ Governors Rd","Adams Street"
"296",,"Columbia Road",,"42.332657","-71.027166","Boston","P St @ Columbia Rd","P Street"
"18246",,,,"42.486636","-71.205172","Burlington","Burlington Mall Rd @ Lahey Hospital & Medical Ctr","Burlington Mall Road"
"door-jfk-sydneyn",,,"JFK/UMass - Sydney St (North)","42.320597","-71.052713","Boston","JFK/UMass - Sydney St (North)",
"node-bbsta-olwstairs-platform",,,"Back Bay - Bottom of Orange Line platform west stairs",,,"Boston","Back Bay",
"789",,"Rexhame Street",,"42.286017","-71.143322","Boston","Belgrade Ave @ Rexhame St","Belgrade Avenue"
"node-767-bottom",,,"Magoun Square - Bottom of Elevator 767","42.393854","-71.106485","Somerville","Magoun Square",
"410",,"Elm Hill Avenue",,"42.313262","-71.083653","Boston","Warren St @ Waumbeck St","Warren Street"
"7130",,"Knowlton Street",,"42.550738","-70.87824","Beverly","Cabot St @ Pond St","Cabot Street"
"910",,"Tremont Place",,"42.350821","-71.172438","Boston","Tremont St @ Tremont Pl","Tremont Street"
"70201",,,"Government Center - Green Line - North Station & North","42.359705","-71.059215","Boston","Government Center",
"node-731-top",,,"North Station - Top of Elevator 731 between passageway and Causeway Street","42.365833","-71.060892","Boston","North Station",
"NEC-1851-05",,,"Providence - Commuter Rail - Track 5","41.829293","-71.413301","Providence","Providence",
"17862",,,"Ruggles - Lower Busway Lane 1","42.336489","-71.089085","Boston","Ruggles",
"3688",,"Hillcrest Road",,"42.216629","-70.928789","Weymouth","Broad St opp Hillcrest Rd","Broad Street"
"3119",,"Bowdoin Street",,"42.268982","-71.035811","Quincy","W Squantum St @ Bowdoin St","West Squantum Street"
"5571",,"Russell Street",,"42.413413","-71.042941","Everett","Elm St @ Woodlawn St","Elm Street"
"4717",,"Beach Street",,"42.409734","-70.999563","Revere","Beach St @ Shirley Ave - Bell Circle","Veterans Of Foreign Wars Parkway"
"3590",,"Ship Street",,"42.245898","-70.887274","Hingham","Otis St opp Ship St","Otis Street"
"972",,"Waldo Terrace",,"42.349081","-71.151941","Boston","Washington St @ Waldo Terr","Washington Street"
"5745",,"Eutaw Street",,"42.378763","-71.039108","Boston","Meridian St @ Eutaw St","Meridian Street"
"6157",,"Vinnin Street",,"42.485719","-70.901666","Salem","Loring Ave @ Vinnin St","Loring Avenue"
"3980",,,,"42.132217","-71.008253","Holbrook","716 S Franklin St","South Franklin Street"
"6649",,"Surfside Road",,"42.4576","-70.9371","Lynn","Lynnway @ Surfside Rd","Lynnway"
"GB-0222-02",,,"Prides Crossing - Commuter Rail - Track 2","42.559446","-70.825541","Beverly","Prides Crossing",
"node-tumnl-trenbstairs-lobby",,,"Tufts Medical Center - Top of stairs for Oak Grove, Tremont Street",,,"Boston","Tufts Medical Center",
"place-brkhl","Tappan St and Cypress St, Brookline, MA 02445",,,"42.331316","-71.126683","Brookline","Brookline Hills",
"3543",,"Lovell Street",,"42.243948","-70.942311","Weymouth","Bridge St opp Lovell St","Bridge Street"
"place-CM-0790","215 Iyannough Road, Hyannis, MA 02601",,,"41.660225","-70.276583","Barnstable","Hyannis",
"38411",,"Arnold Street",,"42.244143","-70.985376","Quincy","South St @ Arnold St","South Street"
"18248",,"South Bedford Street",,"42.488675","-71.200833","Burlington","Burlington Mall Rd @ S Bedford St","Burlington Mall Road"
"9154",,"Pembroke Street",,"42.413441","-71.098314","Medford","Riverside Ave @ Maverick St","Riverside Avenue"
"8393",,"Amesbury Street",,"42.282123","-71.168998","Boston","Baker St @ Rumford Rd","Baker Street"
"11799",,"Fenway",,"42.340129","-71.101132","Boston","Ave Louis Pasteur @ The Fenway","Avenue Louis Pasteur"
"7269",,,,"42.540734","-70.945123","Peabody","Northshore Mall @ Entrance F",
"place-GRB-0118","121 Commercial St, Weymouth, MA 02184",,,"42.221503","-70.968152","Weymouth","Weymouth Landing/East Braintree",
"41883",,"Fulbright Street",,"42.403931","-71.099677","Medford","326 Mystic Ave","Mystic Avenue"
"70115",,,"Chiswick Road - Green Line - (B) Boston College","42.34054","-71.15114","Boston","Chiswick Road",
"2367",,,,"42.420492","-71.141844","Medford","High St @ Jerome St","High Street"
"111881",,"M Street",,"42.29848","-70.881953","Hull","Nantasket Ave from A St to Y St (FLAG)","Nantasket Avenue"
