id,label,bearing,current_stop_sequence,direction_id,longitude,latitude,speed,updated_at,current_status,route_id,stop_id
"B-5482D38B","0716","80","30","1","-71.05162","42.35956","None","2025-05-01T19:45:59-04:00","STOPPED_AT","","","Blue","70044"
"B-5482D68F","0705","350","100","1","-70.99175","42.40269","None","2025-05-01T19:45:38-04:00","INCOMING_AT","","","Blue","70058"
"1809","1809","None","20","0","-71.005859375","42.252254486083984","None","2025-05-01T19:45:26-04:00","STOPPED_AT","","","CR-NewBedford","MM-0079-S"
"y1907","1907","134","8","1","-71.101632199","42.364149769","None","2025-05-01T19:46:06-04:00","IN_TRANSIT_TO","","","1","73"
"y3233","3233","225","11","1","-71.23626294","42.37438875","None","2025-05-01T19:45:31-04:00","IN_TRANSIT_TO","","","556","17813"
"1705","1705","349","110","0","-70.87515258789062","42.788719177246094","11.6","2025-05-01T19:45:39-04:00","IN_TRANSIT_TO","","","CR-Newburyport","ER-0362-01"
"G-10319","3634-3891","60","550","1","-71.10488","42.34665","11.6","2025-05-01T19:46:05-04:00","IN_TRANSIT_TO","","","Green-C","70150"
"y3137","3137","111","3","1","-71.16827306","42.39360614","None","2025-05-01T19:46:09-04:00","IN_TRANSIT_TO","","","74","2141"
"y0830","0830","11","63","1","-71.08084432","42.25960545","None","2025-05-01T19:46:10-04:00","IN_TRANSIT_TO","","","240","4204"
"y3325","3325","45","1","0","-70.99196397","42.41244978","None","2025-05-01T19:46:10-04:00","STOPPED_AT","","","442","15798"
"y1932","1932","315","20","0","-71.12195","42.39667","None","2025-05-01T19:45:35-04:00","IN_TRANSIT_TO","","","88","2631"
"G-10327","3875-3627","225","600","0","-71.08873","42.34046","4.4","2025-05-01T19:46:06-04:00","INCOMING_AT","","","Green-E","70243"
"G-10382","3676-3821","225","650","0","-71.10668","42.33332","4.6","2025-05-01T19:46:08-04:00","INCOMING_AT","","","Green-E","70253"
"y3269","3269","107","12","1","-71.16894424","42.350318969","None","2025-05-01T19:46:06-04:00","STOPPED_AT","","","57","912"
"y1775","1775","180","1","0","-71.08259","42.32911","None","2025-05-01T19:46:08-04:00","STOPPED_AT","","","66","64000"
"y3262","3262","214","4","1","-71.1219225","42.37047696","None","2025-05-01T19:46:08-04:00","IN_TRANSIT_TO","","","66","2551"
"y1281","1281","212","11","0","-71.081599229","42.33221907","None","2025-05-01T19:46:08-04:00","STOPPED_AT","","","749","61"
"y1978","1978","82","16","1","-71.14627847","42.37523233","None","2025-05-01T19:46:10-04:00","IN_TRANSIT_TO","","","73","2066"
"y1964","1964","166","2","1","-71.034059399","42.41523435","None","2025-05-01T19:46:02-04:00","IN_TRANSIT_TO","","","111","5587"
"G-10091","3670-3833","45","520","1","-71.09274","42.33882","5.1","2025-05-01T19:45:55-04:00","INCOMING_AT","","","Green-E","70244"
